Step 266/300: V_g=0.50903: 15 iterations, reldev=0.222306, converged!
Step 267/300: V_g=0.511706: 15 iterations, reldev=0.224978, converged!
Step 268/300: V_g=0.514381: 15 iterations, reldev=0.226687, converged!
Step 269/300: V_g=0.517057: 15 iterations, reldev=0.224328, converged!
Step 270/300: V_g=0.519732: 15 iterations, reldev=0.197212, converged!
Step 271/300: V_g=0.522408: 15 iterations, reldev=0.21244, converged!
Step 272/300: V_g=0.525084: 15 iterations, reldev=0.198447, converged!
Step 273/300: V_g=0.527759: 15 iterations, reldev=0.194832, converged!
Step 274/300: V_g=0.530435: 15 iterations, reldev=0.198004, converged!
Step 275/300: V_g=0.53311: 15 iterations, reldev=0.182625, converged!
Step 276/300: V_g=0.535786: 15 iterations, reldev=0.177928, converged!
Step 277/300: V_g=0.538462: 14 iterations, reldev=0.999365, converged!
Step 278/300: V_g=0.541137: 14 iterations, reldev=0.92313, converged!
Step 279/300: V_g=0.543813: 14 iterations, reldev=0.872864, converged!
Step 280/300: V_g=0.546488: 14 iterations, reldev=0.81991, converged!
Step 281/300: V_g=0.549164: 14 iterations, reldev=0.774461, converged!
Step 282/300: V_g=0.551839: 14 iterations, reldev=0.713892, converged!
Step 283/300: V_g=0.554515: 14 iterations, reldev=0.7061, converged!
Step 284/300: V_g=0.557191: 14 iterations, reldev=0.706966, converged!
Step 285/300: V_g=0.559866: 14 iterations, reldev=0.709837, converged!
Step 286/300: V_g=0.562542: 14 iterations, reldev=0.713038, converged!
Step 287/300: V_g=0.565217: 14 iterations, reldev=0.719561, converged!
Step 288/300: V_g=0.567893: 14 iterations, reldev=0.720709, converged!
Step 289/300: V_g=0.570569: 14 iterations, reldev=0.746934, converged!
Step 290/300: V_g=0.573244: 14 iterations, reldev=0.746613, converged!
Step 291/300: V_g=0.57592: 14 iterations, reldev=0.745, converged!
Step 292/300: V_g=0.578595: 14 iterations, reldev=0.772858, converged!
Step 293/300: V_g=0.581271: 14 iterations, reldev=0.782484, converged!
Step 294/300: V_g=0.583946: 14 iterations, reldev=0.792897, converged!
Step 295/300: V_g=0.586622: 14 iterations, reldev=0.788343, converged!
Step 296/300: V_g=0.589298: 14 iterations, reldev=0.86452, converged!
Step 297/300: V_g=0.591973: 14 iterations, reldev=0.969536, converged!
Step 298/300: V_g=0.594649: 15 iterations, reldev=0.272054, converged!
Step 299/300: V_g=0.597324: 15 iterations, reldev=0.290589, converged!
Step 300/300: V_g=0.6: 15 iterations, reldev=0.277237, converged!
Step 1/300: V_g=-0.2: 22 iterations, reldev=0.0794875, converged!
Step 2/300: V_g=-0.197324: 18 iterations, reldev=0.766775, converged!
Step 3/300: V_g=-0.194649: 17 iterations, reldev=0.26496, converged!
Step 4/300: V_g=-0.191973: 39 iterations, reldev=0.970988, converged!
