Step 182/300: V_g=0.284281: 13 iterations, reldev=0.56717, converged!
Step 183/300: V_g=0.286957: 13 iterations, reldev=0.58536, converged!
Step 184/300: V_g=0.289632: 13 iterations, reldev=0.592345, converged!
Step 185/300: V_g=0.292308: 13 iterations, reldev=0.587837, converged!
Step 186/300: V_g=0.294983: 13 iterations, reldev=0.612976, converged!
Step 187/300: V_g=0.297659: 13 iterations, reldev=0.613468, converged!
Step 188/300: V_g=0.300334: 13 iterations, reldev=0.672283, converged!
Step 189/300: V_g=0.30301: 13 iterations, reldev=0.621845, converged!
Step 190/300: V_g=0.305686: 13 iterations, reldev=0.605121, converged!
Step 191/300: V_g=0.308361: 13 iterations, reldev=0.611907, converged!
Step 192/300: V_g=0.311037: 13 iterations, reldev=0.618239, converged!
Step 193/300: V_g=0.313712: 13 iterations, reldev=0.642142, converged!
Step 194/300: V_g=0.316388: 13 iterations, reldev=0.627873, converged!
Step 195/300: V_g=0.319064: 13 iterations, reldev=0.638913, converged!
Step 196/300: V_g=0.321739: 13 iterations, reldev=0.647935, converged!
Step 197/300: V_g=0.324415: 13 iterations, reldev=0.615912, converged!
Step 198/300: V_g=0.32709: 13 iterations, reldev=0.696785, converged!
Step 199/300: V_g=0.329766: 13 iterations, reldev=0.702929, converged!
Step 200/300: V_g=0.332441: 13 iterations, reldev=0.550624, converged!
Step 201/300: V_g=0.335117: 13 iterations, reldev=0.877426, converged!
Step 202/300: V_g=0.337793: 13 iterations, reldev=0.741484, converged!
Step 203/300: V_g=0.340468: 13 iterations, reldev=0.812232, converged!
Step 204/300: V_g=0.343144: 13 iterations, reldev=0.814535, converged!
Step 205/300: V_g=0.345819: 13 iterations, reldev=0.824315, converged!
Step 206/300: V_g=0.348495: 13 iterations, reldev=0.790926, converged!
Step 207/300: V_g=0.351171: 13 iterations, reldev=0.900846, converged!
Step 208/300: V_g=0.353846: 13 iterations, reldev=0.697206, converged!
Step 209/300: V_g=0.356522: 13 iterations, reldev=0.849202, converged!
Step 210/300: V_g=0.359197: 13 iterations, reldev=0.957159, converged!
Step 211/300: V_g=0.361873: 13 iterations, reldev=0.960442, converged!
Step 212/300: V_g=0.364548: 13 iterations, reldev=0.936245, converged!
Step 213/300: V_g=0.367224: 13 iterations, reldev=0.956685, converged!
Step 214/300: V_g=0.3699: 13 iterations, reldev=0.472403, converged!
Step 215/300: V_g=0.372575: 13 iterations, reldev=0.877058, converged!
Step 216/300: V_g=0.375251: 13 iterations, reldev=0.74601, converged!
Step 217/300: V_g=0.377926: 13 iterations, reldev=0.875617, converged!
Step 218/300: V_g=0.380602: 13 iterations, reldev=0.834006, converged!
Step 219/300: V_g=0.383278: 13 iterations, reldev=0.751933, converged!
Step 220/300: V_g=0.385953: 13 iterations, reldev=0.741761, converged!
Step 221/300: V_g=0.388629: 13 iterations, reldev=0.827222, converged!
Step 222/300: V_g=0.391304: 13 iterations, reldev=0.709667, converged!
Step 223/300: V_g=0.39398: 14 iterations, reldev=0.129859, converged!
Step 224/300: V_g=0.396656: 14 iterations, reldev=0.144957, converged!
Step 225/300: V_g=0.399331: 13 iterations, reldev=0.721168, converged!
Step 226/300: V_g=0.402007: 13 iterations, reldev=0.702487, converged!
Step 227/300: V_g=0.404682: 13 iterations, reldev=0.700823, converged!
Step 228/300: V_g=0.407358: 13 iterations, reldev=0.592525, converged!
Step 229/300: V_g=0.410033: 13 iterations, reldev=0.67395, converged!
Step 230/300: V_g=0.412709: 13 iterations, reldev=0.534126, converged!
Step 231/300: V_g=0.415385: 13 iterations, reldev=0.588258, converged!
Step 232/300: V_g=0.41806: 13 iterations, reldev=0.670744, converged!
Step 233/300: V_g=0.420736: 13 iterations, reldev=0.542933, converged!
Step 234/300: V_g=0.423411: 13 iterations, reldev=0.507671, converged!
Step 235/300: V_g=0.426087: 14 iterations, reldev=0.298478, converged!
Step 236/300: V_g=0.428763: 13 iterations, reldev=0.513813, converged!
Step 237/300: V_g=0.431438: 13 iterations, reldev=0.384601, converged!
Step 238/300: V_g=0.434114: 13 iterations, reldev=0.675662, converged!
Step 239/300: V_g=0.436789: 13 iterations, reldev=0.427868, converged!
Step 240/300: V_g=0.439465: 13 iterations, reldev=0.596765, converged!
Step 241/300: V_g=0.44214: 13 iterations, reldev=0.481725, converged!
Step 242/300: V_g=0.444816: 13 iterations, reldev=0.915723, converged!
Step 243/300: V_g=0.447492: 14 iterations, reldev=0.166712, converged!
Step 244/300: V_g=0.450167: 13 iterations, reldev=0.810042, converged!
Step 245/300: V_g=0.452843: 13 iterations, reldev=0.865597, converged!
Step 246/300: V_g=0.455518: 14 iterations, reldev=0.1702, converged!
Step 247/300: V_g=0.458194: 13 iterations, reldev=0.881427, converged!
Step 248/300: V_g=0.46087: 13 iterations, reldev=0.764075, converged!
Step 249/300: V_g=0.463545: 13 iterations, reldev=0.543119, converged!
Step 250/300: V_g=0.466221: 13 iterations, reldev=0.426206, converged!
Step 251/300: V_g=0.468896: 14 iterations, reldev=0.11574, converged!
Step 252/300: V_g=0.471572: 13 iterations, reldev=0.639925, converged!
Step 253/300: V_g=0.474247: 14 iterations, reldev=0.18845, converged!
