Step 44/300: V_g=-0.0849498: 20 iterations, reldev=0.0975711, converged!
Step 45/300: V_g=-0.0822742: 21 iterations, reldev=0.294037, converged!
Step 46/300: V_g=-0.0795987: 14 iterations, reldev=0.913975, converged!
Step 47/300: V_g=-0.0769231: 15 iterations, reldev=0.649675, converged!
Step 48/300: V_g=-0.0742475: 15 iterations, reldev=0.349791, converged!
Step 49/300: V_g=-0.0715719: 14 iterations, reldev=0.618026, converged!
Step 50/300: V_g=-0.0688963: 17 iterations, reldev=0.904412, converged!
Step 51/300: V_g=-0.0662207: 29 iterations, reldev=1.91957, DIVERGED!!!
17 iterations, reldev=0.96549, converged!
Step 52/300: V_g=-0.0635452: 14 iterations, reldev=0.663018, converged!
Step 53/300: V_g=-0.0608696: 15 iterations, reldev=0.330092, converged!
Step 54/300: V_g=-0.058194: 20 iterations, reldev=0.0826081, converged!
Step 55/300: V_g=-0.0555184: 15 iterations, reldev=0.817536, converged!
Step 56/300: V_g=-0.0528428: 16 iterations, reldev=0.0824249, converged!
Step 57/300: V_g=-0.0501672: 14 iterations, reldev=0.555467, converged!
Step 58/300: V_g=-0.0474916: 16 iterations, reldev=0.298163, converged!
Step 59/300: V_g=-0.0448161: 16 iterations, reldev=0.676661, converged!
Step 60/300: V_g=-0.0421405: 16 iterations, reldev=0.5066, converged!
Step 61/300: V_g=-0.0394649: 16 iterations, reldev=0.432988, converged!
Step 62/300: V_g=-0.0367893: 14 iterations, reldev=0.393337, converged!
Step 63/300: V_g=-0.0341137: 14 iterations, reldev=0.282123, converged!
Step 64/300: V_g=-0.0314381: 14 iterations, reldev=0.490683, converged!
Step 65/300: V_g=-0.0287625: 14 iterations, reldev=0.415235, converged!
Step 66/300: V_g=-0.026087: 14 iterations, reldev=0.817747, converged!
Step 67/300: V_g=-0.0234114: 14 iterations, reldev=0.477134, converged!
Step 68/300: V_g=-0.0207358: 14 iterations, reldev=0.645346, converged!
Step 69/300: V_g=-0.0180602: 14 iterations, reldev=0.543303, converged!
Step 70/300: V_g=-0.0153846: 14 iterations, reldev=0.371862, converged!
Step 71/300: V_g=-0.012709: 15 iterations, reldev=0.198335, converged!
Step 72/300: V_g=-0.0100334: 14 iterations, reldev=0.633462, converged!
Step 73/300: V_g=-0.00735786: 14 iterations, reldev=0.79416, converged!
Step 74/300: V_g=-0.00468227: 15 iterations, reldev=0.122126, converged!
Step 75/300: V_g=-0.00200669: 15 iterations, reldev=0.922947, converged!
